text,humor
Our Editor's Choice photos of the day:  ,False
Brazil Supreme Court votes to indict lower house speaker on graft charges ,False
Tunisian forces kill five militants crossing from Libya ,False
Rights group decries 'crisis of violence and impunity' in Mexico ,False
Merkel calls for Germany to get more involved in world affairs ,False
Homicides in El Salvador double during first two months of 2016 ,False
"Spanish royals knew my business, princess's husband tells court ",False
"Biden, Iraq's Abadi discuss military, financial support in call: White House ",False
Spanish al Qaeda commander killed by French forces in Mali: sources ,False
Spain's Socialist leader loses first vote to become prime minister ,False
"""El Chapo"" wants to accelerate extradition to U.S. in hope prison treatment will be better:  ",False
Italian mafia earnings from drugs rival Fiat with cars ,False
Egypt parliament expels MP for dining with Israeli ambassador ,False
"Nearly 2,000 legal cases opened for insulting Turkey's Erdogan ",False
U.N. says aid ship docks in Yemen after diversion to Saudi Arabia ,False
U.S. 'very concerned' by media crackdown in Malaysia ,False
Zambian opposition party leader arrested over illegal militia drills ,False
Norway denies inhuman treatment of mass killer Breivik:  ,False
"U.S. says working with Russia on aid flow, truce in Syria ",False
Warfare among French socialists hurts Hollande's re-election bid ,False
Convicted ex-CEO of OAS may name Lula in Brazil plea deal: newspaper ,False
Russia says 40 agreements signed on ceasefire in Syria: agencies ,False
"Mozambique plane debris believed to be from Boeing 777, says Malaysia minister:  ",False
White House says Biden to visit Middle East March 5-10 ,False
Mexican drug lord Guzman seeks to speed up extradition to U.S. ,False
Military invites experts to 'Hack the Pentagon':  ,False
"Passion spent, Scots yet to be fired up by Britain's EU vote ",False
Mozambique plane debris believed to be from Boeing 777: Malaysia minister ,False
"Austerity-hit Greeks help refugees with food, toys, time ",False
"Russian, Belarussian fugitives arrested in Spanish resort for fraud: police ",False
Turkish prime minister to visit Iran this week ,False
Al Qaeda leader bin Laden left $29 million inheritance for jihad ,False
Meet the girls in Karachi changing the status quo. These boxers are aiming for international competitions.,False
Huge quake strikes off Indonesia but tsunami warnings cancelled:  ,False
Business ponders 'horrific' cost of end to borderless Europe ,False
London would lose out if UK votes 'out' - Hammond,False
Public support for Hungarian PM's party drops in February: poll ,False
Scott Kelly and Mikhail Kornienko - spacemen returned to Earth:  ,False
Facebook executive jailed in Brazil set to be released:  ,False
"U.N. approves harsh new sanctions on North Korea drafted by U.S., China ",False
British military rapped over deaths of three soldiers on exercise ,False
Gloom deepens over Ukraine peace deal before Paris meeting ,False
Italy may recall student murder probe team from Egypt over lack of cooperation: judicial source ,False
18 killed in car bomb against Syrian insurgents in southern province Quneitra: monitor ,False
Netanyahu seeks to expel families of Palestinian attackers:  ,False
Possible debris from Malaysia flight MH370 found near Mozambique: NBC ,False
U.S. plans naval exercises with India and Japan in Philippine Sea ,False
South Korea demands more sanctions on 'serial offender' North:  ,False
Germany takes on Facebook in first-ever competition probe -  ,False
"Germany calls on EU to help Greece, urges Athens to protect border:  ",False
Palestinians turn to makeshift guns in escalation of street violence ,False
Russian prosecutor demands 23 years in jail for female Ukrainian pilot ,False
"Osama bin Laden wrote a letter calling on the US to fight ""catastrophic"" climate change:  ",False
Indian student held on sedition charge bailed after free-speech protests ,False
Briton guilty of raping women he met via  ,False
UPDATE: Tsunami warning lifted following major earthquake off Indonesia 's Sumatra island TVRI says quoting meteorolgical agency official,False
EU launches emergency refugee aid scheme for Greece:  ,False
Pakistani man kills sisters in suspected honor killing ,False
Spanish parties dismiss Socialists' 'unreal' bid to govern:  ,False
"In Islamic State battle, Cairo struggles to rally Sinai tribes ",False
UPDATE: Major 7.9 magnitude quake strikes southwest of Indonesia - USGS - ,False
Major 7.9 magnitude quake strikes southwest of Indonesia: USGS. ,False
UPDATE: Indonesia issues tsunami warning after big Sumatra quake ,False
Irish PM says open to talks with main rival ,False
Major 8.1 magnitude quake strikes southwest of Indonesia: USGS ,False
"UPDATE: Indonesia National Meterological agency -  issues early tsunami warning in West Sumatra, North Sumatra, Aceh ",False
Moody's cuts China outlook to negative:  ,False
"U.S. targets Islamic State with 21 strikes in Iraq, Syria: statement ",False
Major 8.2 magnitude quake strikes southwest of Indonesia: USGS. ,False
German court throws out objections by far-right NPD in ban case ,False
"Platini appeals FIFA ban, tribunal says:  ",False
Irish PM seeks to form new government:  ,False
"Anti-immigrant 'Soldiers of Odin' expand from Finland to Nordics, Baltics:  ",False
North Korea says nuclear deterrent not aimed at South ,False
South Africa's finance minister Gordhan says unable to meet deadline to answer police questions ,False
Record-breaking South Korea filibuster over 'terror' law ends on ninth day ,False
Airports say Schengen collapse would force costly terminal redesigns ,False
43 Kurdish YPG fighters killed in Syria in battle with Islamic State ,False
Taliban claim blast that killed two Pakistani staff of U.S. consulate ,False
A year in space: Scott Kelly and Mikhail Kornienko return to Earth -  ,False
South Korea minister calls for tough sanctions on North ,False
Turkey says offers to sign migrant readmission agreements with 14 countries ,False
Pope says Church does not want 'dirty money' ,False
Syrian govt forces open new battle with rebels in northwest ,False
Turkey says has hit only Islamic State targets since ceasefire started ,False
Syrian opposition says peace talks date remains 'hypothetical': Arabiya al-Hadath TV ,False
Bin Laden called for Americans to rise up over climate change:  ,False
"Release of jailed Turkish journalists is 'defeat' for Erdogan, Dundar says ",False
Global stocks rally as global slowdown fears fade:  ,False
Gulf Arab states designate Hezbollah a terrorist organization: statement ,False
Spain's Rajoy dismisses Socialists' 'unreal' bid to govern ,False
Australia softens sanctions against Iran  ,False
