text,humor
Our Editor's Choice photos of the day:  ,True
Brazil Supreme Court votes to indict lower house speaker on graft charges ,True
Tunisian forces kill five militants crossing from Libya ,True
Rights group decries 'crisis of violence and impunity' in Mexico ,True
Merkel calls for Germany to get more involved in world affairs ,True
Homicides in El Salvador double during first two months of 2016 ,True
"Spanish royals knew my business, princess's husband tells court ",True
"Biden, Iraq's Abadi discuss military, financial support in call: White House ",True
Spanish al Qaeda commander killed by French forces in Mali: sources ,True
Spain's Socialist leader loses first vote to become prime minister ,True
"""El Chapo"" wants to accelerate extradition to U.S. in hope prison treatment will be better:  ",True
Italian mafia earnings from drugs rival Fiat with cars ,True
Egypt parliament expels MP for dining with Israeli ambassador ,True
"Nearly 2,000 legal cases opened for insulting Turkey's Erdogan ",True
U.N. says aid ship docks in Yemen after diversion to Saudi Arabia ,True
U.S. 'very concerned' by media crackdown in Malaysia ,True
Zambian opposition party leader arrested over illegal militia drills ,True
Norway denies inhuman treatment of mass killer Breivik:  ,True
"U.S. says working with Russia on aid flow, truce in Syria ",True
Warfare among French socialists hurts Hollande's re-election bid ,True
Convicted ex-CEO of OAS may name Lula in Brazil plea deal: newspaper ,True
Russia says 40 agreements signed on ceasefire in Syria: agencies ,True
"Mozambique plane debris believed to be from Boeing 777, says Malaysia minister:  ",True
White House says Biden to visit Middle East March 5-10 ,True
Mexican drug lord Guzman seeks to speed up extradition to U.S. ,True
Military invites experts to 'Hack the Pentagon':  ,True
"Passion spent, Scots yet to be fired up by Britain's EU vote ",True
Mozambique plane debris believed to be from Boeing 777: Malaysia minister ,True
"Austerity-hit Greeks help refugees with food, toys, time ",True
"Russian, Belarussian fugitives arrested in Spanish resort for fraud: police ",True
Turkish prime minister to visit Iran this week ,True
Al Qaeda leader bin Laden left $29 million inheritance for jihad ,True
Meet the girls in Karachi changing the status quo. These boxers are aiming for international competitions.,True
Huge quake strikes off Indonesia but tsunami warnings cancelled:  ,True
Business ponders 'horrific' cost of end to borderless Europe ,True
London would lose out if UK votes 'out' - Hammond,True
Public support for Hungarian PM's party drops in February: poll ,True
